# midi-tsv v0.1
# source=emopia_01_Q3_egYSmNuIFGk_1.mid
# unit=tick
# tick_scale=10
# tpq=384
# pitch=abc-absolute
# voice_map=T2:V2
# track_channel=T2:0
# tempo=0,500000
# time_signature=0,4,4,24,8

S	1	1	1140
T	2
P	0	127
G,,	11	45	48
G,	12	43	39
C	34	83	53
E,	36	40	50
G,,	56	41	59
G,	56	41	53
C,,	77	83	58
E	77	95	67
E,	78	39	43
G,,	98	40	58
G,	98	40	56
C	118	54	78
E,	118	61	59
G,,	138	34	64
G,	139	34	63
^D	161	50	66
C,,	161	96	49
P	172	0
P	178	127
^G,	188	93	52
^G,,	189	92	51
^D,	212	94	49
^D	212	158	52
G,,	234	136	47
G,	235	162	41
C	258	46	50
C,,	258	107	38
^G,,	282	24	43
^G,	282	48	48
C	304	61	42
^D,	306	63	38
^G,,	307	23	39
^G,	330	39	47
^G,,	330	39	47
E	365	99	48
C,,	366	98	40
C	366	41	35
P	368	0
P	381	127
G,,	398	45	52
G,	398	45	47
C	422	84	55
E,	423	83	46
G,,	444	41	65
G,	444	40	58
E	465	92	76
C,,	465	87	57
G,,	485	42	61
G,	486	42	72
C	506	50	68
E,	506	50	58
G,,	528	28	62
G,	528	28	55
C,,	553	99	47
^D	553	52	58
P	556	0
P	568	127
^G,,	581	46	48
G,	582	1	38
^D,	605	98	49
^D	606	174	46
G,,	606	176	38
^G,,	629	50	47
^G,	629	50	49
C	652	51	50
C,,	653	120	38
^G,,	679	24	42
^G,	679	56	48
^G,,	705	30	40
^D,	705	74	42
C	705	247	50
^G,,	735	44	44
^G,	735	43	47
C,,	773	122	37
G,	774	45	44
E	774	231	44
P	782	0
P	794	127
G,,	819	32	45
G,	819	190	34
G,,	851	22	35
G	851	44	60
E,	851	89	43
C,	852	155	22
G,,	873	21	55
P	874	0
P	893	127
G,,	896	20	52
G	896	45	82
C,,	896	102	50
G,,	917	47	59
E,	941	64	59
G	941	56	82
G,,	964	40	60
G	998	227	65
^D	998	59	64
C,,	999	102	54
P	999	0
P	1014	127
^G,,	1032	46	55
^G	1033	119	72
^D,	1056	98	50
G,,	1057	166	45
^D	1058	165	64
^G,,	1079	46	52
C	1080	115	63
C,,	1102	115	49
^A	1102	121	79
^G,,	1126	27	48

S	2	1154	2280
T	2
^G	0	70	72
^G,,	1	27	41
^D,	2	68	47
^G,,	29	41	46
E	64	58	51
C,,	64	35	40
G,	65	218	41
P	70	0
P	93	127
G,,	99	33	43
C,,	100	78	34
E	123	160	23
G	132	46	51
E,	132	90	41
G,,	132	22	30
G,,	155	45	50
G	178	101	73
C,,	179	97	45
G,,	201	45	54
c	223	57	74
E,	223	59	51
G,,	247	29	48
C,,	276	115	36
G,,	276	116	40
^D,	276	47	38
C	277	122	38
^A	277	63	54
^D	277	114	46
P	279	0
P	292	127
^G	313	50	49
^G,,	315	26	34
^G,	315	190	36
G	328	48	65
^A	341	48	73
^D,	341	98	49
^G,,	342	22	43
^G	364	75	72
^G,,	364	50	46
G	376	129	69
^A	390	116	81
P	390	0
C,,	391	109	48
P	394	127
^G,,	415	24	46
^G	440	63	76
^G,,	440	25	43
^D,	440	62	41
^G,,	466	36	39
C,,	500	113	44
E	501	206	49
G,	502	88	40
P	502	0
P	517	127
G,,	536	30	42
G	566	45	59
G,,	566	22	34
E,	566	90	41
G,,	590	44	53
G,	590	24	40
G	612	44	80
C,,	614	20	47
G,	615	93	38
G,,	634	22	55
C,,	635	68	43
E,	657	50	54
G	657	45	80
G,,	657	20	50
G,,	678	26	55
G	704	228	65
^G,	704	228	58
P	704	0
C,,	704	103	51
^D	705	59	57
P	716	127
^G,,	738	47	46
^G	741	120	72
G,,	764	169	46
^D,	764	99	50
^D	764	164	65
^G,,	786	47	53
C	786	143	64
C,,	809	119	50
^A	809	120	79
^G,,	834	29	48
^G	862	67	65
^G,,	863	26	40
^D,	863	69	42
^G,,	890	38	44
E	926	220	46
C,,	928	111	39
G,	928	112	44
P	935	0
P	940	127
G,,	963	30	45
G	993	47	66
G,,	994	21	37
E,	994	46	44
G,,	1016	24	51
C,,	1040	101	56
G,,	1040	21	48
G	1040	104	72
E,	1040	21	44
G,	1041	106	52
G,,	1062	47	51
E,	1062	23	39
C,	1062	24	37
E,	1086	60	54
C,	1086	23	40
c	1086	58	83
G,,	1110	31	50
C,	1110	67	28

S	3	2296	2878
T	2
C,,	0	120	43
^D,	0	63	40
G,,	0	123	41
^A	0	63	55
C	1	122	42
^D	1	122	48
P	5	0
P	18	127
^G,,	37	27	45
^G	37	52	59
G	50	53	71
^D,	64	112	44
^A	64	57	73
^G,,	64	24	48
^G	90	87	64
^G,,	90	58	44
G	104	461	59
^A	122	116	63
C,,	122	460	43
P	122	0
P	125	127
^G,,	148	27	40
^D,	176	244	44
^G,,	176	27	41
^G	177	63	59
^G,,	204	84	51
P	238	0
